concept,cogid,form_a,form_b,seg_a,seg_b,differing_features
breakdestroyorgetdestroyed,6047,keβɾaɾ,ʁõpeɾ,β,p,"cont,voi"
breakfast,6092,desaʝuno,pɨkwɨnualˠmɔsu,d,p,"voi,cor,lab"
breakfast,6092,desaʝuno,pɨkwɨnualˠmɔsu,n,s,"cont,voi,nas,strid,son"
breakfast,6092,desaʝuno,pɨkwɨnualˠmɔsu,s,n,"cont,voi,nas,strid,son"
breakfast,6092,desaʝuno,pɨkwɨnualˠmɔsu,ʝ,lˠ,"ant,cor,son"
brick,6279,laðɾiʎo,tiʒɔlu,l,t,"cont,voi,son"
brick,6279,laðɾiʎo,tiʒɔlu,ð,ʒ,"ant,strid"
brick,6279,laðɾiʎo,tiʒɔlu,ʎ,l,"ant,hi"
bright,6334,bɾiʎante,klaɾu,b,k,"voi,ant,lab,back,hi"
bright,6334,bɾiʎante,klaɾu,n,ɾ,"cont,nas,hi,lo"
bright,6334,bɾiʎante,klaɾu,ʎ,l,"ant,hi"
broken,6415,keβɾaðo,kwɨbɾadu,ð,d,cont
broken,6415,keβɾaðo,kwɨbɾadu,β,b,cont
broken,6415,keβɾaðo,pɐɾtidu,k,p,"ant,lab,back,hi"
broken,6415,keβɾaðo,pɐɾtidu,ð,d,cont
broken,6415,keβɾaðo,pɐɾtidu,ɾ,t,"cont,voi,hi,lo,son"
broken,6415,keβɾaðo,pɐɾtidu,β,ɾ,"cor,lab,hi,lo,son"
bronzeorcopper,6428,bɾonθe,bɾõzɨ,θ,z,"voi,strid"
bronzeorcopper,6428,bɾonθe,kɔbɾɨ,b,k,"voi,ant,lab,back,hi"
bronzeorcopper,6428,bɾonθe,kɔbɾɨ,n,b,"nas,cor,lab,son"
bronzeorcopper,6428,bɾonθe,kɔbɾɨ,θ,ɾ,"voi,hi,lo,son"
bruise,6534,kontusjon,fɨɾimẽtu,k,f,"cont,ant,lab,back,strid,hi"
bruise,6534,kontusjon,fɨɾimẽtu,n,ɾ,"cont,nas,hi,lo"
bruise,6534,kontusjon,fɨɾimẽtu,s,m,"cont,voi,nas,cor,lab,strid,son"
bruise,6534,maɣuʎaðuɾa,fɨɾimẽtu,m,f,"cont,voi,nas,strid,son"
bruise,6534,maɣuʎaðuɾa,fɨɾimẽtu,ð,t,"cont,voi"
bruise,6534,maɣuʎaðuɾa,fɨɾimẽtu,ɣ,ɾ,"ant,cor,back,hi,lo,son"
bruise,6534,maɣuʎaðuɾa,fɨɾimẽtu,ʎ,m,"cont,nas,ant,cor,lab,hi"
brush,6551,θepiʎo,ʃkɔvɐ,p,k,"ant,lab,back,hi"
brush,6551,θepiʎo,ʃkɔvɐ,ʎ,v,"ant,cor,lab,strid,hi,son"
brush,6551,θepiʎo,ʃkɔvɐ,θ,ʃ,"ant,strid"
build,6624,konstɾwiɾ,kõʃtɾuiɾ,s,ʃ,ant
bunch,6717,raθimo,ʁɐmu,θ,ʁ,"voi,ant,cor,back,strid"
bury,6851,sepultaɾ,ẽtɨʁaɾ,p,t,"cor,lab"
bury,6851,sepultaɾ,ẽtɨʁaɾ,t,ʁ,"cont,voi,ant,cor,back,strid"
butter,6900,manteka,mɐ̃tɐigɐ,k,g,voi
butter,6900,mantekiʎa,mɐ̃tɐigɐ,k,g,voi
butterfly,6933,maɾiposa,buɾbulɛtɐ,m,b,"nas,son"
butterfly,6933,maɾiposa,buɾbulɛtɐ,p,l,"cont,voi,cor,lab,son"
